idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
12,0.520233154296875,0.2700861990451813,0.24860017001628876,26.687515258789062,27.206201553344727,0
13,0.5203706622123718,0.25637638568878174,0.2543357014656067,25.345640182495117,25.856351852416992,0
14,0.5141746997833252,0.2664682865142822,0.24552249908447266,25.432287216186523,25.944278717041016,0
15,0.5170484185218811,0.2608049511909485,0.2586548924446106,24.480113983154297,24.999574661254883,0
0,nan,nan,nan,nan,nan,0
1,nan,nan,nan,nan,nan,0
2,nan,nan,nan,nan,nan,0
3,nan,nan,nan,nan,nan,0
4,nan,nan,nan,nan,nan,0
16,0.5124533176422119,0.2603312134742737,0.24906203150749207,23.039304733276367,23.54869842529297,0
5,nan,nan,nan,nan,nan,0
6,nan,nan,nan,nan,nan,0
7,nan,nan,nan,nan,nan,0
8,nan,nan,nan,nan,nan,0
9,nan,nan,nan,nan,nan,0
10,nan,nan,nan,nan,nan,0
11,nan,nan,nan,nan,nan,0
12,nan,nan,nan,nan,nan,0
13,nan,nan,nan,nan,nan,0
14,nan,nan,nan,nan,nan,0
17,0.518570601940155,0.25827524065971375,0.2488693743944168,21.879383087158203,22.38652801513672,0
15,nan,nan,nan,nan,nan,0
16,nan,nan,nan,nan,nan,0
17,nan,nan,nan,nan,nan,0
18,nan,nan,nan,nan,nan,0
19,nan,nan,nan,nan,nan,0
20,nan,nan,nan,nan,nan,0
21,nan,nan,nan,nan,nan,0
22,nan,nan,nan,nan,nan,0
18,0.5173581838607788,0.2593376040458679,0.25671881437301636,20.82551383972168,21.341569900512695,0
23,nan,nan,nan,nan,nan,0
24,nan,nan,nan,nan,nan,0
25,nan,nan,nan,nan,nan,0
26,nan,nan,nan,nan,nan,0
27,nan,nan,nan,nan,nan,0
28,nan,nan,nan,nan,nan,0
29,nan,nan,nan,nan,nan,0
30,nan,nan,nan,nan,nan,0
19,0.5216185450553894,0.25849199295043945,0.2492111176252365,20.005592346191406,20.513296127319336,0
31,nan,nan,nan,nan,nan,0
32,nan,nan,nan,nan,nan,0
33,nan,nan,nan,nan,nan,0
34,nan,nan,nan,nan,nan,0
35,nan,nan,nan,nan,nan,0
36,nan,nan,nan,nan,nan,0
37,nan,nan,nan,nan,nan,0
38,nan,nan,nan,nan,nan,0
39,nan,nan,nan,nan,nan,0
40,nan,nan,nan,nan,nan,0
20,0.5125734806060791,0.26357007026672363,0.25410550832748413,19.916099548339844,20.433774948120117,0
41,nan,nan,nan,nan,nan,0
42,nan,nan,nan,nan,nan,0
43,nan,nan,nan,nan,nan,0
44,nan,nan,nan,nan,nan,0
45,nan,nan,nan,nan,nan,0
46,nan,nan,nan,nan,nan,0
47,nan,nan,nan,nan,nan,0
48,nan,nan,nan,nan,nan,0
49,nan,nan,nan,nan,nan,0
21,0.5233213305473328,0.26974135637283325,0.24746187031269073,19.938600540161133,20.45580291748047,0
0,nan,nan,nan,nan,nan,1
1,nan,nan,nan,nan,nan,1
2,nan,nan,nan,nan,nan,1
3,nan,nan,nan,nan,nan,1
4,nan,nan,nan,nan,nan,1
5,nan,nan,nan,nan,nan,1
6,nan,nan,nan,nan,nan,1
7,nan,nan,nan,nan,nan,1
8,nan,nan,nan,nan,nan,1
9,nan,nan,nan,nan,nan,1
10,nan,nan,nan,nan,nan,1
22,0.5199260711669922,0.260725200176239,0.262337863445282,20.298274993896484,20.821338653564453,0
11,nan,nan,nan,nan,nan,1
12,nan,nan,nan,nan,nan,1
13,nan,nan,nan,nan,nan,1
14,nan,nan,nan,nan,nan,1
15,nan,nan,nan,nan,nan,1
16,nan,nan,nan,nan,nan,1
17,nan,nan,nan,nan,nan,1
18,nan,nan,nan,nan,nan,1
19,nan,nan,nan,nan,nan,1
20,nan,nan,nan,nan,nan,1
21,nan,nan,nan,nan,nan,1
22,nan,nan,nan,nan,nan,1
23,0.5220564603805542,0.25964292883872986,0.2587347626686096,20.561290740966797,21.079668045043945,0
23,nan,nan,nan,nan,nan,1
24,nan,nan,nan,nan,nan,1
25,nan,nan,nan,nan,nan,1
26,nan,nan,nan,nan,nan,1
27,nan,nan,nan,nan,nan,1
28,nan,nan,nan,nan,nan,1
29,nan,nan,nan,nan,nan,1
30,nan,nan,nan,nan,nan,1
31,nan,nan,nan,nan,nan,1
32,nan,nan,nan,nan,nan,1
33,nan,nan,nan,nan,nan,1
34,nan,nan,nan,nan,nan,1
24,0.5171571373939514,0.2535979747772217,0.25614023208618164,20.37701416015625,20.88675308227539,0
35,nan,nan,nan,nan,nan,1
36,nan,nan,nan,nan,nan,1
37,nan,nan,nan,nan,nan,1
38,nan,nan,nan,nan,nan,1
39,nan,nan,nan,nan,nan,1
40,nan,nan,nan,nan,nan,1
41,nan,nan,nan,nan,nan,1
42,nan,nan,nan,nan,nan,1
43,nan,nan,nan,nan,nan,1
44,nan,nan,nan,nan,nan,1
45,nan,nan,nan,nan,nan,1
46,nan,nan,nan,nan,nan,1
25,0.5195387005805969,0.26520752906799316,0.24756911396980286,23.05075454711914,23.56353187561035,0
47,nan,nan,nan,nan,nan,1
48,nan,nan,nan,nan,nan,1
49,nan,nan,nan,nan,nan,1
0,nan,nan,nan,nan,nan,2
1,nan,nan,nan,nan,nan,2
2,nan,nan,nan,nan,nan,2
3,nan,nan,nan,nan,nan,2
4,nan,nan,nan,nan,nan,2
5,nan,nan,nan,nan,nan,2
6,nan,nan,nan,nan,nan,2
7,nan,nan,nan,nan,nan,2
26,0.5186169147491455,0.26161015033721924,0.25892698764801025,19.426044464111328,19.94658088684082,0
8,nan,nan,nan,nan,nan,2
9,nan,nan,nan,nan,nan,2
10,nan,nan,nan,nan,nan,2
11,nan,nan,nan,nan,nan,2
12,nan,nan,nan,nan,nan,2
13,nan,nan,nan,nan,nan,2
14,nan,nan,nan,nan,nan,2
15,nan,nan,nan,nan,nan,2
16,nan,nan,nan,nan,nan,2
17,nan,nan,nan,nan,nan,2
18,nan,nan,nan,nan,nan,2
19,nan,nan,nan,nan,nan,2
27,0.5176742076873779,0.26377034187316895,0.2517348527908325,18.117977142333984,18.633481979370117,0
20,nan,nan,nan,nan,nan,2
21,nan,nan,nan,nan,nan,2
22,nan,nan,nan,nan,nan,2
23,nan,nan,nan,nan,nan,2
24,nan,nan,nan,nan,nan,2
25,nan,nan,nan,nan,nan,2
26,nan,nan,nan,nan,nan,2
27,nan,nan,nan,nan,nan,2
28,nan,nan,nan,nan,nan,2
29,nan,nan,nan,nan,nan,2
30,nan,nan,nan,nan,nan,2
